# A parancsazonosito oszlop 2026-09-01-en VISSZAKERULT (#1581).
# A ket korabbi gepi kinyeres azert bukott meg, mert a fordito a menurekord
# +0x04..+0x10 mezoit a KOVETKEZO rekord feliratanak betoltese UTAN irja ki:
# a push "<kulcs>" es a ra kovetkezo mov word ptr [...+0x0a] NEM tartozik ossze.
# A javitott horgony a rekord KEZDOCIME: mov dword ptr [REK], eax (#1409).
# KONTROLL: 13 fuggetlenul ismert azonositobol 13 egyezik, 0 ter el.
# URES cella ket okbol lehet:
#   (a) a bajtminta nem rajzolodott ki hianytalanul -> nem talalgatunk;
#   (b) a felirat-kulcsot TOBB parancs is hasznalja. A kulcs a FELIRATOT
#       nevezi meg, nem a parancsot: eMenuView::ID_VIEW_BW harom kulonbozo
#       menuben harom kulonbozo azonositoval szerepel.
# Kinyero: scripts/binaris/menu_parancsazonositok.py
# Reszletek: picasa-menu-leltar.md 7. szakasz.
menu,parancs,felirat_en,felirat_hu,parancsazonosito
eMenuTools,ID_S_YELLOW,&Yellow,&Sárga,0x9da6
eMenuTools,ID_TOOLS_ADJUST_TIMESTAMP,Adjust &Date and Time...,&Dátum és idő beállítása...,0x9e0e
eMenuTools,ID_TOOLS_BACKUP,&Back Up Pictures...,&Képek biztonsági mentése...,0x9d38
eMenuTools,ID_TOOLS_BATCH_UPLOAD,Batch Upload...,Csoportos feltöltés...,0x9d3a
eMenuTools,ID_TOOLS_BUTTONMGR,Configure Buttons...,Gombok konfigurálása...,0x9daf
eMenuTools,ID_TOOLS_COLLAB,Upload to a Collaborative Web Album,Feltöltés közös szerkesztésű webalbumba,0x9df9
eMenuTools,ID_TOOLS_CONFIG_SCREENSAVER,Configure Screensaver...,Képernyővédő konfigurálása...,0x9dc9
eMenuTools,ID_TOOLS_CONFIG_SLINGSHOT,Configure Photo Viewer...,Fotómegjelenítő beállítása...,0x9df0
eMenuTools,ID_TOOLS_CONTACTMGR,People Manager...,Személyek kezelése...,
eMenuTools,ID_TOOLS_DOWNLOAD_FACES,Do&wnload Name Tags from Picasa Web Albums,Névcímkék letöltése a Picasa &Webalbumokból,0x9e10
eMenuTools,ID_TOOLS_INCLUDEEXCLUDEFOLDERS,&Folder Manager...,&Mappakezelő...,0x9caa
eMenuTools,ID_TOOLS_OPTIONS,&Options...,&Beállítások...,0x9cab
eMenuTools,ID_TOOLS_UPLOAD,Upload to Google &Photos,Feltöltés a Google Fotókba,0x9df7
eMenuTools,ID_TOOLS_UPLOADMGR,&Upload Manager...,&Feltöltéskezelő...,0x9d9d
eMenuTools,ID_TOOLS_YOUTUBE,Upload to &YouTube,Feltöltés a &YouTube webhelyre,0x9df8
eMenuTools,ID_VIEW_EARTH,View in Google Earth...,Megtekintés a Google Earth programban...,0x9d9e
eMenuTools,ID_WRITE_XMP_FACES,Write faces to XMP...,Arcinformációk írása XMP-adatokba...,0x9e2a
eMenuTools,Searchfor,Search for...,Keresés...,
eMenuTools,Upload,U&pload,&Feltöltés,
eMenuView,DisplayMode,&Display Mode,&Megjelenítési mód,
eMenuView,FolderView,&Folder View,&Mappanézet,
eMenuView,ID_CAPFILE,&Filename,&Fájlnév,0x9d64
eMenuView,ID_CAPFULL,&Caption,&Képfelirat,0x9d65
eMenuView,ID_CAPNONE,&None,&Nincs,0x9d63
eMenuView,ID_CAPRES,&Resolution,&Felbontás,0x9d66
eMenuView,ID_CAPTAG,&Tags,&Címkék,
eMenuView,ID_CAPTAG,&Tags,&Címkék,
eMenuView,ID_PICTURE_SEPIA,&Sepia,&Szépia,0x9d4a
eMenuView,ID_VIEWBYDATE,Sort by &Creation Date,Rendezés létre&hozási dátum alapján,0x9c8b
